3,108,824,590,752,839,345,-70.9
5,205,1364,1402,1808,2174,928,-10.0
6,228,2034,1581,1625,1776,672,-252.9
23,1679,9,5,163,83,314,68.8
24,2376,256,748,1812,3028,808,338.4
25,800,2,0,0,1,0,-0.3
45,540,12,9,42,21,3,-0.6
46,1196,524,427,619,669,261,-28.4
47,1175,894,1422,1867,1737,540,-39.3
48,1824,2181,1381,1730,1135,342,-392.4
49,1519,1536,1154,1186,1003,588,-204.7
50,2400,11531,9845,10399,8243,2397,-1987.0
51,1377,633,550,770,477,127,-108.5
52,4628,3213,3285,3753,2910,1170,-446.1
53,3233,81,79,93,27,21,-17.2
56,4592,979,1019,782,1266,687,-33.7
58,1972,3,7,9,78,60,18.5
59,826,11,36,97,60,30,6.2
60,1920,162,114,100,94,37,-27.0
61,915,3,0,3,0,0,-0.6
62,1178,378,228,370,351,66,-50.1
64,768,0,3,3,3,0,0.0
66,5742,3442,3538,3635,1126,130,-903.6
67,5829,255,174,151,90,33,-52.8
68,5236,1413,1078,489,342,128,-330.6
69,2622,135,223,151,121,24,-32.4
70,1050,0,21,21,15,27,4.8
71,1775,9,0,153,109,6,10.3
72,1080,0,12,12,6,21,3.6
73,1898,9,16,12,14,4,-1.2
74,1776,1571,1008,1323,1318,493,-184.6
75,2025,58,20,38,35,40,-2.1
76,7068,8368,8023,8436,3674,997,-1909.1
77,10703,973,615,472,635,520,-88.6
78,1326,0,0,0,1,4,0.9
79,2133,4,48,217,222,56,27.8
80,2400,16,4,6,12,16,0.8
81,2187,63,66,117,27,15,-13.5
82,6478,1506,979,662,396,39,-351.7
83,4399,1014,1479,1976,1449,285,-148.8
84,5796,3345,3381,3289,3273,1263,-427.2
85,1275,291,294,228,237,159,-32.1
86,8772,2503,2262,2456,2508,735,-329.0
87,2958,3009,2736,2385,2370,825,-473.4
88,5280,1845,1516,3314,3303,1156,40.9
89,1602,24,12,24,15,0,-4.5
90,3600,2670,2710,3096,3597,1059,-233.5
91,3094,21,9,27,52,9,1.9
92,2944,451,178,153,216,54,-75.6
93,2139,111,56,72,3,3,-26.9
94,3384,177,99,183,186,75,-11.7
95,3800,105,45,61,309,246,54.6
96,4992,195,96,31,162,45,-23.4
98,2058,6,3,15,6,0,-0.9
99,2574,474,574,501,576,69,-80.8
100,4400,477,688,378,231,90,-123.1
108,4320,49,246,211,35,57,-19.5
109,1744,0,9,2,0,3,-0.3
112,1456,91,21,0,0,0,-20.3
113,45652,14271,13373,15141,14777,4906,-1732.6
115,6325,102,89,367,1078,84,95.3
116,2784,484,566,542,401,139,-85.5
117,7956,1856,1255,2230,1532,519,-239.7
118,12744,1293,942,1493,1194,303,-172.8
120,9240,2177,1737,2773,2893,567,-206.4
121,7139,500,256,464,617,119,-40.1
122,6588,1719,1654,2166,1033,274,-351.1
123,5658,372,297,486,555,179,-12.8
124,2852,125,68,108,169,39,-7.1
125,6625,2059,1534,2282,3894,966,17.4
126,6930,2152,1965,2539,2011,719,-282.0
128,5504,342,210,319,417,108,-26.1
129,1935,3,0,0,6,3,0.6
131,5764,1902,1870,2259,1605,423,-322.3
132,5148,961,851,1780,2058,991,126.7
133,2660,372,201,155,36,3,-90.3
134,2010,1671,813,738,1110,552,-194.1
135,4590,42,40,138,498,9,39.2
136,4080,171,165,315,303,30,-14.4
137,7946,3059,2336,2219,1591,559,-574.5
138,5658,1326,1008,781,789,351,-216.9
139,10008,1869,1241,971,910,429,-321.1
140,7700,2185,1660,2417,1956,858,-235.8
141,6909,1718,1719,1896,1956,765,-166.9
142,7668,18,36,51,42,27,2.4
143,9581,99,88,126,141,30,-8.5
144,5040,39,46,30,9,13,-8.9
145,10585,337,505,654,584,248,-9.9
146,5986,708,1392,3035,2839,1384,279.9
147,9261,3007,3139,4602,4569,2063,-45.8
148,9620,2654,5102,4934,4254,1761,-263.4
149,8791,1986,2192,1383,1513,628,-339.5
150,11700,2566,2978,3807,3650,1429,-160.2
151,13741,4948,4278,6206,5886,2505,-327.8
152,7600,2188,2084,3049,2973,1303,-88.1
153,8568,847,696,1618,544,413,-102.0
154,8778,762,679,1264,1466,1192,164.7
155,9145,888,1139,2101,1501,703,-0.8
156,10296,3963,4467,4862,3683,1068,-657.4
157,11461,4777,5643,6012,4693,1480,-754.4
158,8848,4775,5418,6151,4832,1431,-727.4
159,6201,539,717,659,618,270,-63.7
160,8800,54,73,84,171,202,39.4
161,8372,115,85,122,28,21,-24.5
162,3888,18,12,9,39,6,0.3
163,5379,2109,2100,1502,877,345,-475.1
164,9348,2276,2310,2734,2287,969,-263.7
165,6765,2527,1897,2177,1893,577,-390.4
166,5644,1342,1260,1108,1230,341,-203.2
167,5511,3665,3596,2749,2796,846,-643.8
169,4732,195,138,117,45,16,-45.1
180,6480,0,0,1,1,0,0.1
183,6588,0,0,0,1,0,0.1
184,6624,12,20,0,4,11,-1.8
187,6732,0,0,0,0,0,0.0
189,6804,0,0,0,0,0,0.0
190,7030,1,0,0,1,0,-0.1
191,7067,2,1,0,0,0,-0.5
192,7488,21,29,21,34,32,2.7
193,6948,0,0,0,0,18,3.6
194,7954,2,0,20,50,67,18.0
195,8385,14,40,16,14,23,-0.8
196,7252,61,54,24,0,0,-17.6
198,7326,1,0,0,1,0,-0.1
199,7562,0,9,2,0,0,-0.9
200,7200,0,1,0,2,0,0.1
201,7236,0,0,0,0,1,0.2
202,7272,0,0,3,0,0,0.0
203,7308,0,3,0,0,0,-0.3
204,7752,0,0,0,4,0,0.4
205,7380,0,0,0,2,0,0.2
206,8034,8,16,64,89,96,24.9
207,7866,4,0,36,9,0,0.1
208,7696,0,0,1,1,1,0.3
210,7770,2,0,1,0,0,-0.4
211,7596,1,0,0,0,0,-0.2
212,8904,291,342,89,65,6,-84.7
213,7881,1,1,0,0,0,-0.3
214,7704,0,0,9,0,0,0.0
215,7740,0,0,0,1,0,0.1
216,8856,11,3,1,2,2,-1.9
219,9855,35,36,6,25,5,-7.1
220,12760,21,13,1,6,6,-3.7
221,9945,1,1,0,0,0,-0.3
222,10656,5,1,3,1,0,-1.0
223,10258,1,1,0,1,0,-0.2
224,9856,1,1,0,1,0,-0.2
225,11025,41,4,3,14,8,-5.6
228,7524,97,8,56,72,32,-6.6
229,7786,1,1,8,0,0,-0.3
231,13167,8,9,0,32,0,0.7
232,13224,137,88,104,192,120,7.0
233,7456,0,0,0,0,0,0.0
234,7488,8,0,24,8,0,-0.8
235,15510,200,162,192,160,136,-13.0
236,13216,280,208,184,296,200,-7.2
237,7821,56,8,49,16,17,-7.0
239,9560,8,8,0,8,16,1.6
240,11520,16,8,16,16,0,-2.4
244,8296,1,8,33,0,8,0.6
248,21328,24,291,215,16,0,-32.3
249,12201,8,1,56,16,0,-0.1
250,10500,9,24,57,96,8,7.0
251,15813,1,29,18,145,16,14.6
252,15120,26,2,25,8,25,0.4
253,13156,13,26,2,56,8,2.0
256,17408,41,744,1107,947,272,66.5
258,17802,25,9,18,48,1,-0.9
259,15022,330,542,1681,1820,1256,313.0
278,43368,34,36,60,106,37,7.6
279,13950,73,8,17,67,17,-5.3
282,72192,1049,821,1003,2367,582,61.2
287,21525,120,377,282,305,88,-13.6
288,38016,2472,1639,1265,2664,1040,-183.9
297,12177,0,0,16,9,0,0.9
298,15198,9,1,41,8,0,-1.1
312,21528,14,23,2,0,0,-5.1
313,14085,1,1,3,2,4,0.7
314,15386,10,2,10,5,1,-1.5
315,16380,30,5,2,3,0,-6.2
316,18012,12,1,4,0,11,-0.3
317,11412,0,0,0,0,0,0.0
318,12720,1,2,0,3,0,-0.1
319,11803,0,0,1,0,9,1.8
320,12160,1,0,3,1,0,-0.1
321,11556,0,0,0,1,0,0.1
327,15696,22,5,14,1,1,-4.6
329,11844,0,0,1,1,0,0.1
332,12284,1,0,0,2,0,0.0
334,12024,1,0,0,0,0,-0.2
336,12096,0,0,0,0,0,0.0
338,12506,9,0,12,21,1,0.5
339,12204,0,0,0,0,0,0.0
344,13760,5,157,134,126,1,-3.9
420,18060,503,546,546,681,99,-67.3
421,22313,374,318,330,67,267,-46.5
422,24054,181,858,976,1339,153,42.5
423,15651,163,283,189,261,117,-11.4
425,53550,2005,3847,8375,8659,3913,862.8
426,16614,57,54,37,48,105,9.0
427,12383,6,4,30,14,417,83.2
428,17976,2009,1014,1003,1359,834,-200.5
429,23166,580,548,751,922,402,1.8
431,23274,678,544,716,804,228,-64.0
432,20304,595,424,581,744,479,8.8
433,12990,427,276,253,367,156,-45.1
434,10850,192,196,138,315,156,4.7
437,33212,788,856,949,1159,646,1.9
438,22338,1182,777,635,966,396,-138.3
439,15365,573,478,506,561,285,-49.3
440,25080,731,459,537,709,327,-55.8
441,24255,1465,773,474,705,420,-215.8
442,32266,4157,4348,3946,2916,727,-829.2
443,28352,3131,1841,2632,3177,1062,-280.2
444,29748,1436,3052,280,4864,2672,428.4
445,18690,521,460,525,723,269,-24.1
446,26760,511,775,1257,642,267,-62.1
447,18774,888,627,781,852,264,-102.3
448,25088,1759,2091,2121,2288,954,-141.3
449,18858,435,527,772,632,285,-19.5
450,19350,409,384,315,201,258,-48.5
451,20295,388,702,1449,1155,734,114.5
452,22600,738,443,1019,1017,414,-7.4
453,21744,234,603,816,855,234,25.2
455,15015,292,596,546,765,159,-9.7
459,25704,441,722,588,680,534,14.4
460,20700,489,710,802,420,63,-114.2
461,17057,276,311,327,148,129,-45.7
462,10164,6,3,9,4,0,-1.1
463,16668,49,199,115,30,24,-21.9
464,16704,451,382,519,720,333,10.2
465,23250,1117,738,425,486,291,-190.4
466,21436,716,261,388,702,402,-18.7
467,31756,1016,541,1248,2356,1017,181.7
468,19188,624,411,461,624,292,-45.1
469,8442,6,12,0,15,12,1.5
470,28670,1435,1262,1365,1687,1062,-32.1
471,17898,579,473,510,664,258,-45.1
472,10384,131,81,60,204,114,8.9
473,24596,879,644,591,787,408,-79.9
474,28914,1568,1188,1102,1278,378,-229.0
475,13775,820,565,518,849,258,-84.0
476,18088,630,468,445,730,294,-41.0
477,19080,459,378,403,495,285,-23.1
478,25812,2422,1143,1940,807,102,-497.6
479,19160,3210,747,1045,366,270,-626.1
480,29280,1500,1377,1597,1704,783,-110.7
481,32708,1623,1417,1580,1719,384,-217.6
482,15424,684,836,908,1319,437,-1.1
483,13041,911,1008,1369,1229,408,-78.5
484,24200,1279,1734,741,736,177,-320.2
485,21825,1158,830,1324,1835,828,34.5
486,17496,4138,3934,3295,4576,1591,-445.2
487,17532,208,477,3129,4074,2508,819.7
488,5856,12,3,0,6,0,-2.1
489,19071,24,27,18,27,0,-4.8
490,5390,37,20,81,67,64,10.1
491,7365,302,164,1453,1328,779,211.8
492,11316,680,725,1151,1232,537,22.1
493,14297,571,2375,2704,2501,1058,110.0
494,9880,273,470,1338,2135,1073,326.5
495,3465,2,2,21,154,74,29.6
496,8928,122,175,783,1100,478,163.7
497,4970,26,50,372,731,369,136.7
499,6986,260,181,309,235,172,-12.2
500,6500,211,340,400,337,192,-4.1
502,7530,198,214,329,400,217,22.4
